epsilon (");84381.448;-468.150;-0.059;1.813
omega (");84381.448;-0.25240;5.127;-7.726
psi (");0.00000;50384.78750;-107.259;-1.147
khi (");0.000;105.526;-238.064;-1.125
theta (");0.000;20043.109;-42.665;-41.883
zeta (");0.000;23062.181;30.188;17.998
z (");0.000;23062.181;109.468;18.203
